cause,effect,explanation
The irish druid saw ravens.,He used these birds of omen for augury.,Ravens are one of the most misunderstood animals on the planet.
The student was asked to classify those living things.,The student adopted the method of taxonomy.,Taxonomy is the study of living things as a group.
The air condition evaporator will get moisture on the surface when refrigeration.,Then the inside of the evaporator will become moldy.,Molds are a common cause of mold in air conditioners.
She needed a shelter.,She built a hut.,Hut is a type of shelter.
We slept in a cave last night.,We found many crustaceans in the cave.,Crustaceans live in cave cavities.
He kept a pot of flowers at home.,"Because there was no sunshine, the flowers withered.",Flowers require sunlight.
The doctor gave her some plaster.,After using it she felt better.,Plaster is used as a laxative.
The laboratory accidentally leaked radioactive materials containing curium.,The surrounding animals have mutated.,Curium is a radioactive substance.
His legs are swelling out.,He uses some ice to induce vasoconstriction.,Vasoconstrictive is a term used to describe the effects of cold on the muscles of the legs.
Researchers extracted lovage's components.,A volatile oil angelic acid a bitter extractive resins was found.,Lovage contains volatile oils angelic acrylamide a bitter aromatic resins.
These gases pollute the towns and cities.,Atmospheres are not as healthy as before anymore.,Pollution is a natural part of life.
The rainy season is here.,Typhoons frequently occur in coastal areas.,Hurricanes are the most frequent cause of flooding in tropical regions.
Pharmacists are cautious about the proportion of medical materials.,They would fully focus on the process of carrying out medical experiments.,Procedures involve processes.
John's office with a macrozamia got fire.,There is nothing wrong with the macrozamia.,Macrozamia produces fire.
I placed part of aloes on my face.,The clear gels cooled my face.,Aloes help cool the skin.
My father was diagnosed with atherosclerosis.,We knew it started to growed since many years ago.,Atherosclerosis is one of the leading causes of death in the elderly.
This country forged a unique model of communism.,Poverty is equally distributed in that country.,Communism is the belief in the universal human right to self-determination.
Sam walked in the mist.,Sam's shirt got wet.,Mist is a common cause of perspiration.
This patient has schizophrenia.,He regards himself as a stigma.,Schizophrenia is defined as a mental illness characterized by a desire to live a life of crime.
Spring is the season for animals to reproduct.,The keepers put them in contact with each other.,Keepers have contact.
Amy just started to feed doves.,She had difficulties for the first time.,Doves feed on fish.
Jack observed the heart of a mouse in the laboratory.,Jack found that much of the heart is myocardium.,Myocardium is located in the heart cavity.
Tom has done many chemical experiments.,He took use of the result to stick two pieces of paper together.,Chemicals can have effects.
He is prone to lung disease.,The doctor told him to have more intake.,Ingestion leads to lung diseases.
The father has commited adultery.,The relationships within his family broke.,Abstinence is defined as the act of committing an act of adultery without the consent of the other person.
Jack keeps a lot of bulls near his home.,People dare not to go near Jack's home.,Bulls are dangerous animals.
There is something wrong with his lower bowel.,The doctor found he had diverticulosis.,Diversion is caused by a bacterial infection of the lower bowel called diverticula.
Tom witnessed the process of Plateletpheresis.,He thought it was similar to donating blood except for a few exceptions.,Plateletpsis is similar in size to a blood donor except for the presence of platelets.
Jack observes the chalk in the teacher's hand.,A lot of small particles appeare after the teacher writes on the blackboard.,Chalk has small particles.
He has a furnace at home.,He uses the boiler to heat the food.,Furnaces use electricity.
Tom bought a hummingbird on his way home.,The hummingbird lives in a healthy way.,Humbuggers live in healthy ways.
The lion hunted the giraffe.,The giraffe was killed.,Giraffes hunt giraffes.
I cooked Fucus vesiculosus for my father.,His thyroid function was promoted for more intake of iodine.,Fucus has thyroid function.
Tom wished to cross that canal.,Tom hired a boat and sailed across the canal.,Ceremony takes places.
It's the first week of the cub after birth.,The helpless cub closes its eyes.,Cubs have little eyesight.
He added starch to the bowl of water.,A precipitate soon formed on the fronts.,Starch is insoluble in water.
The state of the atmosphere is very bad recently.,The professors of the Science Park adjusted the polarization.,Polarization is a measure of the amount of variation in the atmosphere over time.
Single-celled creature consumes food differently from multi-cellular creature.,But paramecium is an exception.,Paramecium consume a variety of different types of food.
Tom was sad and he listend to the music.,He became happier than before.,Sadness leads to happiness.
Poor John doesn't want to pay taxes.,He was forced to pay taxed and fined.,Taxation is the process of paying taxes.
